;avatar;name;doctor_title;doctor_educate_title;hospital;department;major;profile
0;https://n1.hdfimg.com/g2/M03/71/DC/yIYBAFw8OIyAQbw2AAAWC2_R7lQ743_200_200_1.png?8901;游绍莉;主任医师;教授;中国人民解放军总医院第五医学中心;肝衰竭诊疗与研究中心;疑难重症肝病、肝衰竭及肝硬化的诊治；病毒性肝炎、肝衰竭的诊治及人工肝治疗等;游绍莉，女，主任医师，肝病学部六病区主任，首届“名医带徒”青年专家，师承皇甫玉珊教授。从事传染病医、教、研工作20多年，对人工肝及肝纤维化形成与逆转有基础研究，在各种传染病，特别是病毒性肝炎、肝衰竭的诊治及人工肝治疗等方面积累了丰富的临床经验，擅长病毒性肝炎、疑难肝病、肝衰竭及肝硬化的诊治。
1;https://n4.hdfimg.com/g10/M06/5A/D2/vYYBAFqnrm2AfXFvAAOwpd6nVAo491_200_200_1.jpg?ab54;杜小平;主任医师;教授;中南大学湘雅医院,湘雅博爱康复医院;神经内科,神经内科;对于脑血管病（脑梗死、脑出血）、眩晕症、偏头痛、颅内感染、癫痫、帕金森病、周围神经病、重症肌无力、脱髓鞘疾病、老年性痴呆等变性疾病的诊断和治疗;杜小平，男，神经内科主任医师，教授，硕士研究生毕业，硕士生导师，1983年于湖南医学院医学专业本科毕业，嗣后于湖南医科大学神经病学硕士研究生毕业，长期在湘雅医院神经内科从事医疗、教学和科研工作，现为神经内科教授，主任医师，硕士研究生导师。潜心于临床医疗工作。对于脑血管病（脑梗死、脑出血）、眩晕症、偏头痛、颅内感染、癫痫、帕金森病、周围神经病、重症肌无力、脱髓鞘疾病、老年性痴呆等变性疾病的诊断和治疗具有丰富的临床经验，对于以抑郁和焦虑为主要表现的神经症、精神分裂症、情感障碍等具有丰富的临床经验，对于少见病、疑难病积累了较丰富的临床经验。尤擅长于脑血管疾病、痴呆、眩晕、头痛、抑郁和焦虑的诊断、鉴别诊断和治疗。善于从事临床医疗工作。看病认真、仔细、严谨、敢于负责任；能够详尽地收集和记录病人的各类临床资料，坚持观察和随访各类疑难病人；临床思路开阔、严谨，具有较高的诊断和鉴别诊断水平；对于常见病、多发病的治疗，具有较好的疗效。同时关心、爱护病人，深受病人欢迎。科研方面主要从事脑血管疾病和痴呆的研究工作。参加心脑血管病社区人群危险因素的国家“八五”和“九五”攻关课题。多次参加脑梗死药物治疗的全国性多中心研究。 多次参加卡巴拉汀、多奈哌齐、美金刚等治疗中国阿尔茨海默病的疗效与安全性的全国性多中心研究。培养硕士研究生9名，指导博士研究生6名。
2;https://n3.hdfimg.com/g1/M00/07/0E/o4YBAFT2h86ASfiGAAWRVgJuYdQ200_200_200_1.jpg?a967;唐竞;主任医师;副教授;北京积水潭医院;矫形骨科;擅长治疗膝关节炎，股骨头坏死。尤其擅长小切口微创人工髋关节置换术，人工膝关节置换术，微创单髁置换术。擅长应用小切口微创方法治疗复杂初次髋关节疾病及人工关节翻修。擅长人工智能辅助精准人工关节置换，具有丰富的临床经验。;唐竞，男，主任医师。医学博士，北大医学部副教授。美国UPMC医学中心高级访问学者、博士后。 中国加速康复协会关节置换微创学组创始委员，全国卫生产业协会健康分会常务理事，北京医学会骨科分会中西医结合学组委员，北京生态文化协会常务理事，国家体育总局登山运动管理中心备战2024奥运会医疗专家。 高中毕业于清华附中，以全班第一名的优异成绩考入全国著名的医科院校上海医科大学，就读于临床医学七年制专业。在上海中山医院实习期间工作认真努力，待病人诚恳，积极参与救治每一个病人，获得轮转各科室的一致好评。2001年毕业，被评为2001届复旦大学优秀毕业生。取得硕士学位后在北京积水潭医院骨科参加工作。主要从事骨科常见病和疑难病的诊治及围手术期处理，人工关节置换手术和术后的康复治疗等工作。完成大量人工关节置换手术和下肢畸形矫正等手术。2008年毕业于北京大学医学部，获得骨科博士学位。主要擅长小切口微创人工髋关节置换术，人工膝关节置换术，单髁置换术，人工关节翻修，擅长治疗膝关节骨性关节炎，股骨头坏死，髋关节发育不良，对手术治疗和保守治疗方面都有深入的研究。具有丰富的临床经验。2011年赴海外在美国著名的匹兹堡大学医学中心深造学习，期间学习努力刻苦，参与多项关于骨性关节炎，人工关节，关节功能重建，生物力学等相关研究。成果在次年的美国ORS会议演讲展示，发表两篇SCI论文（总影响因子5.773)，并于次年获得骨科博士后学位后回国，继续在北京积水潭医院工作。 多次参加国家级和国际会议，在会议期间进行论文演讲和壁报交流。2009年应邀赴新加坡中央医院进行为期一月的交流学习。2011年8月至2012年8月期间作为高级访问学者应邀赴美国匹兹堡大学医学中心进行为期一年的交流学习，并取得博士后学位。期间应邀参加2012美国AAOS骨科年会和2012美国ORS (骨科研究协会)会议。留学期间，参与多项美国国家级科研项目。研究成果参加了2013年美国ORS会议演讲交流，并发表在国外著名骨科期刊KSSTA上。2013年应邀先后赴加拿大伦敦医学中心和德国夏洛特医院进行短期进修学习。2014年参加在英国伦敦召开的第15届欧洲骨科年会。2014年9月应邀赴日本东京船桥矫形外科医院和钏路劳災病院进修学习。2016年应邀赴美国丹佛克罗拉多人工关节中心进修学习。曾应邀在中央人民广播电台，辽宁广播电视台等新闻媒体做有关膝关节骨性关节炎，股骨头坏死的诊断治疗等科普节目。2019年医院派驻沈阳积水潭医院挂职院长助理及矫形骨科行政主任，期间工作认真负责，开展了多项疑难病例的诊疗工作和手术治疗，取得了良好的临床疗效，得到患者的好评；并作为特邀专家参与辽宁省慈善总会和沈阳积水潭医院组织的骨关节慈善康复大型公益活动，为多位慈善救助困难人员完成复杂的关节置换手术治疗，极大的改善了贫困家庭的生活质量。圆满完成了外派挂职和技术支持的任务，获得沈阳积水潭医院终身名誉教授称号。目前在国内做为高级讲师应邀参加多次大型骨科会议，并做学术演讲和授课。
3;https://n3.hdfimg.com/g9/M02/A9/0D/u4YBAFws8YWAev06AAdtqX7stSY797_200_200_1.png?1aa8;刘金同;主任医师;教授;山东省精神卫生中心;儿童青少年心理科;注意缺陷多动障碍、抽动障碍、饮食与睡眠障碍、学习困难、亲子关系、抑郁障碍、双相障碍、焦虑障碍、强迫障碍、精神分裂症、孤独症、智力发育障碍等。;刘金同，博士，主任医师，教授，博士生导师。1985年毕业于山东大学医学院，毕业后一直从事精神病学临床、教学与科研工作。曾先后留学美国Case Western Reserve University和英国Oxford University。在长期临床工作中，对精神疾病的诊断和治疗积累了丰富经验，尤其擅长儿童青少年心理行为障碍的治疗。指导博士与硕士研究生40余名。
4;https://n4.hdfimg.com/g5/M07/50/85/0IYBAF_0HFWAYlbtAAmoYrXJ_xg466_200_200_1.png?9e79;张亚历;主任医师;教授;南方医科大学南方医院,深圳市龙岗区人民医院,南方医科大学南方医院增城分院;消化内科,消化内科,消化内科;萎缩性胃炎、慢性胃炎、胃肠功能紊乱、反流性食管炎、胃息肉、肠息肉、克罗恩病、溃疡性结肠炎、幽门螺杆菌、腹泻、便秘、消化不良。;张亚历，男，1961年出生。主任医师，二级教授、博士生导师，国务院特津专家，广东省高干保健专家，广东省首届岭南名医及羊城好医生。现为广东省南方消化疾病研究所副所长，南方医科大学消化内科研究所副所长，南方医院消化科副主任。长期从事胃肠疾病的临床诊疗、内镜和病理诊断工作，早期曾在日本医科大学研修。是既从事临床，又从事病理和内镜诊疗的专家。专长于胃肠早期癌、胃肠炎症性疾病和出血疾病的诊断和治疗，擅长对疑难疾病的诊疗分析和治疗。
5;https://n4.hdfimg.com/g4/M00/2F/3D/qoYBAFSiZxqARlYzAAGrOBSSgZA294_200_200_1.jpg?d1dc;夏正坤;主任医师;教授;南京大学医学院附属金陵医院;儿童肾脏诊疗中心;1．儿童肾病综合征，特别是难治性肾脏病(包括激素依赖、激素耐药与频繁复发的患者)、不明原因的血尿、IgA肾病、紫癜性肾炎、狼疮性肾炎、急性肾炎、慢性肾炎、急慢性肾功能衰竭、肾小管相关疾病、风湿性关节炎、类风湿性关节炎、硬皮病、皮肌炎、系多发性肌炎、干燥综合征、混合结缔组织疾病、血小板减少性紫癜、溶血尿毒综合征、儿童遗尿症等疾病的诊治。2．免疫抑制剂在儿童难治性肾病中的合理应用。3．血液净化技术在儿童肾脏病中的应用。4.血管炎疾病（如ANCA相关血管炎、肉芽肿多血管炎、嗜酸性肉芽肿多血管炎、川崎病、抗肾小球基底膜病、goodpasture综合征、IgA血管炎等）。;夏正坤，中国卓越儿科贡献医生，南京大学医学院附属金陵医院 儿童肾脏诊疗中心（原南京军区南京总医院儿童肾病诊疗中心）儿科主任,主任医师、南京大学教授、博士、4个重点大学的博士研究生导师（南京大学、中大医院医学院、南方医科大学与南京医科大学四个著名大学的博导，临床与科研均可招生）、博士后指导老师，江苏省领军医学人才，2012年赴新南威尔氏大学悉尼儿童医院作为高级访问学者进行交流,负责国内儿童难治性肾病诊疗方案与急性肾小球肾炎循证诊治指南的制定。长期从事儿童肾脏疾病等临床医疗工作，特别在儿童难治性肾脏疾病、儿童血尿的诊疗与血液净化等方面有独到的见解。南京军区卫生系列“122”学科带头人、江苏省医学重点人才、江苏省首席科技传播专家、享受军队优秀专业技术人才岗位津贴。2008年担任安徽毫州手足口病队长与首席专家。2011年中央电视台新闻联播与国内主流媒体报道成功救治69天无尿的急性肾功能不全患儿，创造了医学史上的奇迹。夏正坤教授主要学术贡献：1.负责国内儿童激素耐药型肾病诊疗方案、急性肾小球肾炎循证指南与儿童血浆置换在ANCA中临床应用专家共识 的制定。2.首先在国内创新性将新型免疫抑制剂在儿童肾病中应用与推广如他克莫司、咪唑立宾等，已在儿童难治性肾病中取得较好的疗效与推广应用。3. 在国内最早进行儿童局灶节段性肾小球硬化症诊疗策略的优化研究，建立了精准化诊疗方案。4. 负责国内第一本《儿童遗尿症诊疗规范》的撰写。5.为了对乡镇卫生院与村卫生室人员标准化的培训，主编《乡镇卫生院内儿科知识培训手册》与《村卫生室人员内儿科知识培训手册》科学技术文献出版社。6. 主编《儿童肾病综合征百问百答》与《儿童肾病知多少》科普书籍，帮助患儿与家长掌握肾脏病的科学知识,树立起战胜疾病的信心。主攻方向:1．儿童难治性肾脏病(包括激素依赖、激素耐药与频繁复发的患者)、不明原因的血尿、IgA肾病、紫癜性肾炎、狼疮性肾炎、急性肾炎、慢性肾炎、急慢性肾功能衰竭、肾小管相关疾病、风湿性关节炎、类风湿性关节炎、硬皮病、皮肌炎、系多发性肌炎、干燥综合征、混合结缔组织疾病、血小板减少性紫癜、溶血尿毒综合征、儿童遗尿症等疾病的诊治。2．免疫抑制剂在儿童难治性肾病中的合理应用。3．血液净化技术在儿童肾脏病中的应用。
6;https://n1.hdfimg.com/g2/M00/01/65/pIYBAFIlwHiAXbzmAAAMosWDXEk315_200_200_1.jpg?f891;金玉;主任医师;教授;南京医科大学附属儿童医院;消化科;擅长消化道及呼吸道感染性疾病的诊断及治疗，特别在腹泻、便血，奶蛋白过敏、便秘、腹痛、呕吐，阵发性哭闹，婴儿黄疸，肝功能异常等方面具有多年的临床诊治经验。;金玉，主任医师，教授，消化科主任医师，博士生导师，北京医科大学毕业。 在儿科临床、教学、科研一线工作近40年，积累了大量的临床诊治经验。
7;https://n4.hdfimg.com/g5/M04/C3/1A/0IYBAF82oNeAbM_HAAQghGtydE4184_200_200_1.jpg?3a9f;陈刚;主任医师;教授;华中科技大学同济医学院附属同济医院;妇科肿瘤科;各种妇科肿瘤性疾病（如宫颈癌，子宫内膜癌，卵巢癌，外阴癌，子宫肌瘤，卵巢囊肿），宫颈癌前病变，子宫内膜异位症（子宫腺肌病，子宫腺肌症，卵巢巧克力囊肿）的诊断和综合治疗，特别是妇科肿瘤的微创手术治疗以及恶性肿瘤的规范化治疗。;教授，主任医师，博士生导师。同济医院妇科肿瘤专科医疗副主任。
8;https://n3.hdfimg.com/g2/M00/0A/73/pIYBAFKtLhaAd02QAABn2hkVnL4319_200_200_1.jpg?3b1d;刘海波;主任医师;教授;中国医学科学院阜外医院;心血管内科;冠心病的诊断及介入;刘海波，男，冠心病诊治中心主任医师，教授，博士，硕士研究生导师。1987年毕业于同济医科大学医学系。1994年获中国协和医科大学研究生院博士学位。先后于1996年及2000年赴日本循环器病中心及澳大利亚皇家珀斯医院分别进修学习冠心病基础及介入诊疗各一年。1987年至今一直在阜外医院心内科（主要是冠心病专科）从事临床、科研及介入诊疗工作。临床特长为冠心病的诊断与治疗，尤其擅长冠心病介入诊疗技术。截止到2017年5月，已完成及指导完成冠状动脉造影（部分同时行左心室造影）68000余例。完成冠心病经皮介入治疗（主要为支架植入术）手术41300余例，其中独立（第一术者）完成39500余例。手术成功率高。手术死亡率仅万分之0.5。
9;https://n4.hdfimg.com/g5/M01/00/D4/y4YBAFzb5PaAbDLYAALlKZAfciU221_200_200_1.jpg?9861;孙路明;主任医师;教授;上海市第一妇婴保健院;胎儿医学科&产前诊断中心;1. 复杂性双胎（尤其是双胎输血综合征、选择性生长受限，双胎反向动脉灌注序列、双胎贫血多血质序列等）及三胎以上妊娠处理 及宫内治疗2. 胎儿水肿（免疫性及非免疫性）的诊断及宫内治疗3. 胎儿生长发育异常（生长受限和生长过度）的诊治4. 胎儿先天性心脏病的诊断及宫内治疗（胎儿严重主动脉/肺动脉瓣狭窄及闭锁、室上性心动过速的宫内干预）6. 胎儿神经系统及泌尿系统异常的诊断及处理7. 胎盘血管瘤的诊治8. 孕前产前遗传疾病的筛查及诊断9. 患病胎儿的宫内监护和管理;孙路明，女职称：主任医师，教授，博士生导师。现任职务：上海市第一妇婴保健院胎儿医学科主任培训经历：加拿大渥太华大学附属总医院-多伦多大学附属西奈山医院母胎医学专科医师临床规范化培训(MFM clinical fellow，2006-2009) ，在北美系统接受了母胎医学临床专业培训（产科，超声，及产前遗传）。 2009.10 月孙路明医生回国后引进国外的先进理念：“胎儿是人，患病的胎儿也是病人”，系统地开展了多种胎儿疾病的产前筛查，诊断，及宫内干预。临床主要成绩体现在：1）在复杂性双胎疾病、胎儿宫内发育受限、胎儿出生缺陷、罕见病的孕前及产前诊断等专病的临床管理方面形成了一整套诊疗规范， 做为第一作者撰写胎儿医学领域国家级指南四部；牵头上海市产前筛查诊断标准制定，并作为全国产前诊断专家组成员参与国家产前筛查及诊断行业标准制定。参与国际指南撰写2部。2 不断探索新技术，在国内系统规范地开展了多项宫内治疗新技术，如射频消融减胎术（2011年11月），双胎输血综合征的胎儿镜下激光电凝术（2011年8月）、胎儿胸腹腔积液shunt引流术（2014年5月）、宫内肝静脉输血术（2012年6月）、室上性心动过速胎儿的宫内药物治疗（2014年10月）等。其中射频消融减胎术，双胎输血综合征的胎儿镜下激光电凝术在2011年获得上海市医学会颁发的新技术认证，其疗效均达到国际先进水平。2018年6月成功完成了首例由国内医生团队独立主导的胎儿肺动脉瓣闭锁的心脏介入手术，所带领的胎儿医学科是目前业界一致认可的胎儿宫内诊断及治疗转诊中心。3. 带领团队开展了多项罕见病的产前分子遗传诊断新技术，包括染色体微阵列技术（CMA），一代，二代测序技术。目前特色是在孕早期（11-14周）提供胎儿染色体疾病、基因组疾病及单基因疾病的产前诊断。4. 面对特殊诊治对象（母亲-胎儿、家庭-社会）的特殊需求，在国内率先将产前诊断伦理及心理干预纳入了胎儿医学的日常诊疗体系。5. 自2011年连续9年担任大会执行主席成功举办中国胎儿医学大会，成为我国胎儿医学学科领域内唯一的年度学术盛会。 加强国际合作，引入国际课程，连续5年举办胎儿医学基本理论及培训课程，在业界具有很大的学术影响力。教学业绩体现在： 已培养多名硕士博士研究生；承担精品课程：《产科学》人卫慕课规划教材的主讲教师；担任人卫第九版《妇产科学》编委，全面负责胎儿医学章节部分撰写；担任人卫《产前遗传病诊断》（经典教材）再版，并任副主编 。 2019年获同济大学泰禾卓越医学教育奖
